loan_id,loan_amount,loan_purpose,loan_grade,interest_rate,annual_income,employment_length,employment_status,home_ownership,fico_score,credit_history_length,num_credit_accounts,num_open_accounts,total_credit_limit,revolving_balance,credit_utilization,late_payments_2yr,recent_inquiries,monthly_debt_payments,age,education_level,debt_to_income,loan_to_income,risk_score,default
LC_000000,19628,debt_consolidation,D,17.35,85983,10.5,Full-time,Mortgage,703,2.0,4,2,146750,69398,0.473,1,2,2397,47,Bachelors,0.335,0.228,0.2379,1
LC_000001,11140,debt_consolidation,E,20.27,63079,7.2,Full-time,Mortgage,657,0.8,3,2,94606,11843,0.125,4,6,382,48,High School,0.073,0.177,0.3637,0
LC_000002,19446,medical,F,26.97,55987,3.9,Self-employed,Mortgage,644,21.2,3,2,41287,5143,0.125,3,0,561,40,Some College,0.12,0.347,0.4798,1
LC_000003,23210,debt_consolidation,C,12.64,55606,7.8,Full-time,Rent,666,4.7,7,4,109509,28845,0.263,1,3,1178,37,Some College,0.254,0.417,0.1911,0
LC_000004,44565,car,B,9.35,60772,0.6,Full-time,Mortgage,703,2.1,3,1,30631,6250,0.204,0,2,874,32,Some College,0.173,0.733,0.0529,1
LC_000005,24213,major_purchase,D,17.65,60061,3.3,Full-time,Mortgage,719,14.6,3,2,34512,10686,0.31,0,2,383,44,Some College,0.077,0.403,0.2159,0
LC_000006,19935,major_purchase,C,13.94,76284,2.2,Full-time,Rent,744,17.2,3,2,119779,9770,0.082,1,1,339,46,Bachelors,0.053,0.261,0.1546,0
LC_000007,28909,business,A,7.18,83782,1.5,Full-time,Mortgage,752,1.8,6,4,184845,32243,0.174,1,5,1473,58,Masters,0.211,0.345,0.0325,0
LC_000008,46613,debt_consolidation,E,20.61,44266,0.0,Full-time,Rent,728,9.5,6,5,81626,47727,0.585,3,3,1473,45,High School,0.4,1.053,0.3942,0
LC_000009,41500,business,C,13.72,87153,10.3,Full-time,Own,737,33.0,8,7,98901,17727,0.179,2,2,1275,51,Masters,0.176,0.476,0.1239,0
LC_000010,31290,debt_consolidation,C,14.16,95342,9.6,Full-time,Own,739,5.3,6,5,40335,5882,0.146,2,1,1199,46,Bachelors,0.151,0.328,0.1335,0
LC_000011,30928,debt_consolidation,F,25.16,87484,13.8,Full-time,Own,705,17.6,8,5,194915,98592,0.506,0,4,3722,80,Some College,0.511,0.354,0.5269,0
LC_000012,43311,debt_consolidation,C,12.7,59238,10.0,Full-time,Rent,767,3.9,1,1,35968,18328,0.51,1,1,975,45,Bachelors,0.198,0.731,0.1357,0
LC_000013,8087,debt_consolidation,F,25.2,47852,5.1,Full-time,Mortgage,616,8.0,4,2,119348,22651,0.19,6,4,994,26,Some College,0.249,0.169,0.8022,1
LC_000014,44052,debt_consolidation,F,27.23,51631,0.6,Self-employed,Mortgage,675,22.4,7,5,92783,14230,0.153,4,0,691,45,Some College,0.161,0.853,0.5192,0
LC_000015,49676,debt_consolidation,D,17.42,84380,5.6,Full-time,Mortgage,736,5.9,7,4,185105,51655,0.279,1,3,2360,45,Masters,0.336,0.589,0.257,0
LC_000016,5212,major_purchase,F,25.46,54070,7.7,Full-time,Mortgage,656,1.1,8,5,56686,19450,0.343,3,0,697,46,High School,0.155,0.096,0.4808,0
LC_000017,45979,major_purchase,B,9.72,93305,0.5,Full-time,Mortgage,751,26.0,3,2,130747,15413,0.118,1,4,1597,44,Bachelors,0.205,0.493,0.0597,0
LC_000018,39757,medical,B,9.42,99406,18.5,Self-employed,Mortgage,790,4.0,6,5,63246,10121,0.16,0,5,1018,56,High School,0.123,0.4,0.1037,0
LC_000019,25153,business,D,16.92,130487,16.1,Self-employed,Mortgage,675,2.0,6,4,71260,34263,0.481,1,1,2742,25,PhD,0.252,0.193,0.2579,1
LC_000020,39911,vacation,E,21.39,103861,7.5,Full-time,Rent,662,5.3,6,5,49153,19555,0.398,3,0,1716,56,Bachelors,0.198,0.384,0.4432,1
LC_000021,32730,medical,C,13.69,96184,4.6,Full-time,Rent,739,3.0,6,4,145196,28817,0.198,1,0,1983,21,Masters,0.247,0.34,0.1929,0
LC_000022,49019,debt_consolidation,E,21.49,58464,1.3,Full-time,Rent,646,5.1,2,1,106270,19529,0.184,1,1,896,45,High School,0.184,0.838,0.36,0
LC_000023,43555,medical,B,8.22,91205,0.3,Full-time,Rent,748,11.9,5,3,51641,11084,0.215,1,1,743,65,Bachelors,0.098,0.478,0.1108,0
LC_000024,7058,vacation,F,25.4,47829,6.1,Full-time,Own,623,0.2,6,3,88830,14061,0.158,2,2,464,35,Some College,0.117,0.148,0.4819,1
LC_000025,42423,other,F,25.98,54488,2.2,Part-time,Own,647,2.0,4,2,96539,25538,0.265,4,3,862,42,High School,0.19,0.779,0.6852,1
LC_000026,28219,debt_consolidation,F,26.62,43685,1.7,Full-time,Rent,591,3.3,3,1,52226,21159,0.405,2,3,1018,35,Some College,0.28,0.646,0.5247,1
LC_000027,31386,car,F,25.07,47535,3.4,Part-time,Rent,655,0.0,4,3,84678,22757,0.269,6,2,745,18,Masters,0.188,0.66,0.7256,0
LC_000028,17025,debt_consolidation,C,14.11,66249,5.6,Full-time,Rent,683,9.4,7,5,47798,11152,0.233,1,0,458,40,Some College,0.083,0.257,0.1357,0
LC_000029,8315,major_purchase,B,8.24,84286,3.3,Full-time,Mortgage,741,1.4,5,4,107455,16224,0.151,0,2,1105,47,Bachelors,0.157,0.099,0.0504,0
LC_000030,31634,other,D,16.5,75042,5.6,Full-time,Rent,693,12.0,7,6,37909,17483,0.461,1,4,761,30,Masters,0.122,0.422,0.2271,1
LC_000031,22380,home_improvement,E,20.91,58052,0.0,Full-time,Own,719,6.1,3,2,24904,4505,0.181,2,1,897,54,Some College,0.186,0.386,0.3453,0
LC_000032,48376,major_purchase,C,12.54,68243,1.6,Full-time,Own,676,8.4,3,2,125055,19730,0.158,0,3,1304,32,PhD,0.229,0.709,0.1437,0
LC_000033,25552,medical,D,16.76,73558,1.6,Part-time,Rent,625,9.0,3,2,178831,31836,0.178,0,0,1486,27,Masters,0.243,0.347,0.2614,0
LC_000034,10250,debt_consolidation,E,20.37,37084,1.6,Full-time,Rent,694,3.3,4,2,80694,26366,0.327,0,1,1266,41,High School,0.41,0.276,0.3703,1
LC_000035,42334,major_purchase,F,26.35,48333,3.8,Full-time,Rent,607,3.7,7,5,106139,78378,0.738,2,3,2958,27,Bachelors,0.734,0.876,0.7792,1
LC_000036,22089,debt_consolidation,A,6.1,37107,0.1,Full-time,Own,700,12.6,8,6,45355,7298,0.161,0,1,477,35,Bachelors,0.154,0.595,0.0409,0
LC_000037,25720,major_purchase,D,15.52,35433,2.7,Part-time,Rent,704,15.2,1,1,41482,1860,0.045,0,2,197,34,Some College,0.067,0.726,0.2858,0
